fms_id,budget_line,total_budget,spend_to_date,managing_agency,sponsor_agency,vendor_ids
ACSPDF,CS-0003,23545000.00,0.00,ACS,,V0490 V0173
CAPC,CS-D002,100000.00,0.00,ACS,,V0274 V0466
CROSSBH,CS-0005,6000000.00,0.00,ACS,,V0736
CROSSHVAC,CS-0005,2756000.00,0.00,ACS,,V0209
CSK002NLC,CS-K999,249900.00,226900.00,ACS,,V0004 V0490 V0248
EMQREN,CS-0005,50000000.00,0.00,ACS,,V0009
HAMMELCOM,CS-Q002,400000.00,0.00,ACS,,V0523
HORIHVAC,CS-0005,2756000.00,0.00,ACS,,V0490
HORIZONBH,CS-0005,6000000.00,0.00,ACS,,V0315 V0006
JJZROSSLB,CS-K001,173058.01,73058.01,ACS,,V0589
NSCC,CS-0003,14833000.00,0.00,ACS,,V0207
SECDETWHC,CS-0005,1250000.00,0.00,ACS,,V0847
SECDETWHH,CS-0005,1250000.00,0.00,ACS,,V0144 V0026
LBC17DRBR,"LB-D104 , LB-K001",1659000.00,0.00,BPL,,V0684 V0087
LBC25UPIF,LB-D104,1300000.00,0.00,BPL,,V0652 V0045 V0169
LBCENPH3,"LB-0104 , LB-D104 , LB-K001",3800000.00,0.00,BPL,,V0887 V0411
LBK26WWIO,LB-K001,169000.00,0.00,BPL,,V0365 V0209 V0119
LBM22PCOH,"LB-0101 , LB-0104 , LB-D104 , LB-K001",40046000.00,0.00,BPL,,V0904 V0247 V0248
LBM25BWAD,LB-0104,2000000.00,0.00,BPL,,V0292
LBM25CTIF,"LB-0104 , LB-0109 , LB-D104",9000000.00,0.00,BPL,,V0686 V0878
LBM25DKHC,LB-0104,4000000.00,0.00,BPL,,V0292 V0365
LBM25HLIF,"LB-0104 , LB-D104 , LB-K001",4230000.00,0.00,BPL,,V0893
LBM25WBHC,LB-0104,6000000.00,0.00,BPL,,V0487
LBM26HCSB,LB-0104,15000000.00,0.00,BPL,,V0176
LBM26SBBR,LB-0104,15000000.00,0.00,BPL,,V0221 V0057 V0332
LBM27MPOH,LB-K001,1000000.00,0.00,BPL,,V0875
ACECUN211,PU-0025,145776.00,5633.71,CUNY,,V0388
ACECUN212,PU-0025,2382881.00,85766.55,CUNY,,V0365
ACECUN213,PU-0025,152667.00,19965.85,CUNY,,V0627
ACECUN214,PU-0025,1383851.00,47948.93,CUNY,,V0207 V0483 V0009
ACECUN215,PU-0025,141849.00,3250.00,CUNY,,V0288 V0155 V0118
ACECUN216,PU-0025,1102154.00,15259.24,CUNY,,V0975 V0074 V0289
ACECUN221,PU-0025,9322739.00,123473.44,CUNY,,V0187 V0393
ACECUN222,PU-0025,29840468.00,376913.67,CUNY,,V0323 V0274
ACECUN223,"HN-0206 , HN-D002 , PU-0025",6304969.00,0.00,CUNY,,V0233 V0146
ACECUN231,PU-0025,12299396.00,222570.00,CUNY,,V0218
ACECUN232,PU-0025,7999640.00,159984.01,CUNY,,V0310
ACECUN233,PU-0025,18426860.00,241705.00,CUNY,,V0009
ACECUN234,PU-0025,13999864.00,214524.07,CUNY,,V0208 V0411
ACECUN507,HN-D002,371600.00,183060.49,CUNY,,V0434 V0540 V0829
ACECUN801,"HN-0206 , PU-0025",8501472.00,3331648.57,CUNY,,V0057 V0797 V0174
ACECUN901,PU-0025,5107698.00,1077401.91,CUNY,,V0486 V0832
BA001-022,HN-0300,1000000.00,0.00,CUNY,,V0026 V0209 V0751
BA001-023,HN-D300,1167000.00,0.00,CUNY,,V0623 V0842 V0347
BA001-024,HN-M300,235000.00,0.00,CUNY,,V0672 V0652
BA001-026,"HN-D300 , HN-M300",2497000.00,0.00,CUNY,,V0490 V0169
BA013-013,HN-D300,568815.64,411815.64,CUNY,,V0312
BA024-018,HN-D300,250000.00,0.00,CUNY,,V0868 V0365 V0144
BA025-018,HN-D300,260000.00,0.00,CUNY,,V0144
BA030-020,"HN-D300 , HN-M300",1950000.00,0.00,CUNY,,V0707 V0774
BX001-024,"HN-D002 , HN-D004 , HN-X002",3758476.00,46331.00,CUNY,,V0511
BX001-025,"HN-D002 , HN-X002",1969000.00,0.00,CUNY,,V0203 V0150
BX001-026,"HN-D002 , HN-X002",2000000.00,0.00,CUNY,,V0209
BX001-027,HN-X002,1000000.00,0.00,CUNY,,V0541
BX006-022,HN-D002,1149904.00,0.00,CUNY,,V0056 V0057
BX024-011,HN-0206,15955109.00,13301041.02,CUNY,,V0540 V0209 V0487
