pid,fms_id,current_phase,current_phase_norm,agency_project_name,forecast_completion,job_open_for_charges
,ACSPDF,(Pending),pending,Renovation projects for field offices,,true
,CAPC,(Pending),pending,CHINESE AMERICAN PLANNING COUNCIL,,true
,CROSSBH,(Pending),pending,Crossroads HVAC- Juvenille Detention Center,,true
,CROSSHVAC,(Pending),pending,Crossroads HVAC,,true
,CSK002NLC,(Pending),pending,"NEW LIFE CHILD DEVEL. CTR. DCC AT 295 WOODBINE STREET, BK.",,true
,EMQREN,(Pending),pending,Juvenile Justice Renovations,,true
,HAMMELCOM,(Pending),pending,HAMMEL HOUSES - COMMUNITY CENTER HVAC SYSTEM,,true
,HORIHVAC,(Pending),pending,HVAC UPGRADE- HORIZON JUVENILE DETENTION CENTERS,,true
,HORIZONBH,(Pending),pending,HORIZON JUVENILE DETENTION CENTERS,,true
,JJZROSSLB,(Pending),pending,THE CROSSROADS JUVENILE CENTER - LIBRARY RENOVATION,,true
,NSCC,(Pending),pending,Children's Center High Needs Unit,,true
,SECDETWHC,(Pending),pending,Window Hardening Crossroads,,true
,SECDETWHH,(Pending),pending,Window Hardening Horizons,,true
,LBC17DRBR,(Pending),pending,DYKER INTERIOR RENOVATION,,true
,LBC25UPIF,(Pending),pending,Ulmer Park Infrastructure,,true
,LBCENPH3,(Pending),pending,Central Phase 3,,true
,LBK26WWIO,(Pending),pending,Walt Whitman Initial Outfitting,,true
,LBM22PCOH,(Pending),pending,PACIFIC OVERHAUL,,true
,LBM25BWAD,(Pending),pending,Bushwick ADA Bathrooms,,true
,LBM25CTIF,(Pending),pending,Cortelyou HVAC Replacement,,true
,LBM25DKHC,(Pending),pending,Dekalb HVAC Replacement,,true
,LBM25HLIF,(Pending),pending,Highlawn Infrasrtructure Upgrade,,true
,LBM25WBHC,(Pending),pending,Williamsburgh HVAC Replacement,,true
,LBM26HCSB,(Pending),pending,Homecrest Branch Replacement,,true
,LBM26SBBR,(Pending),pending,Sheepshead Consolidation Design & Fit Out,,true
,LBM27MPOH,(Pending),pending,McKinley Park Library Comprehensive Overhaul,,true
,ACECUN211,(Pre-Design),pre-design,CUNY - Portfolio Submetering - BMCC,,true
,ACECUN212,(Pre-Design),pre-design,CUNY - Portfolio Submetering - Bronx CC,,true
,ACECUN213,(Pre-Design),pre-design,CUNY - Portfolio Submetering - Hostos CC,,true
,ACECUN214,(Pre-Design),pre-design,CUNY - Portfolio Submetering - Kingsborough CC,,true
,ACECUN215,(Pre-Design),pre-design,CUNY - Portfolio Submetering - LaGuardia CC,,true
,ACECUN216,(Pre-Design),pre-design,CUNY - Portfolio Submetering - Queensborough CC,,true
,ACECUN221,(Pre-Design),pre-design,"CUNY - BMCC HVAC UPGRADES - 199 CHAMBERS ST, NY",,true
,ACECUN222,(Pre-Design),pre-design,"CUNY - KCC MULTI-BUILDING HVAC UPGRADES AT 2055 ORIENTAL, BK",,true
,ACECUN223,(Pending),pending,CUNY - Queensborough Community College: Central Chiller Plan,,true
,ACECUN231,(Pre-Design),pre-design,Bronx Community College BMS Upgrade,,true
,ACECUN232,(Pre-Design),pre-design,Borough of Manhattan Community College BMS Upgrade,,true
,ACECUN233,(Pre-Design),pre-design,Kingsborough Community College BMS Upgrade,,true
,ACECUN234,(Pre-Design),pre-design,Laguardia Community College BMS Upgrade,,true
,ACECUN507,(Pending),pending,CUNY - Hostos CC Summer Boiler,,true
,ACECUN801,(Pending),pending,CUNY - Building Automation Controls Upgrade @ QCC,,true
,ACECUN901,(Pre-Design),pre-design,CUNY - BMS Upgrade at 4 Hostos College Buildings,,true
,BA001-022,(Equipment),equipment,17 Lexington Multi-purpose Room,,true
,BA001-023,(Pre-Design),pre-design,ADA Bathrooms,,true
,BA001-024,(Pre-Design),pre-design,ONE STOP SHOP (BOSS) STUDENT SUPPORT OFFICES,,true
,BA001-026,(Pending),pending,NEWMAN VERTICAL CAMPUS PHYSICAL ACCESS SYSTEM ENHANCEMENTS,,true
,BA013-013,(Equipment),equipment,"Data Center, UPS, and Cooling",,true
,BA024-018,(Pre-Design),pre-design,Modification of Main Entrance at 17 Lexington Avenue,,true
,BA025-018,(Pre-Design),pre-design,Marxe Lab/Public Space Upgrades for School of Public Affairs,,true
,BA030-020,(Pre-Design),pre-design,Mason Hall A/V System,,true
,BX001-024,(Pre-Design),pre-design,LIBRARY ELEVATOR INSTALLATION,,true
,BX001-025,(Pre-Design),pre-design,THE OHIO TRACK AND FIELD RENOVATIONS,,true
,BX001-026,(Pending),pending,COLLEGE MEDIA AND DIGITAL FILM PRODUCTION TELEVISION STUDIO,,true
,BX001-027,(Pending),pending,EXPANSION & UPGRADES OF THENURSING AND ALLIED HEALTH SCIENCE,,true
,BX006-022,(Pre-Design),pre-design,Food Pantry Construction,,true
,BX024-011,(Completed),completed,Roof Replacement,,false
,BX027-015,(Pre-Design),pre-design,Ohio Track & Field Restoration,,true
,BX038-016,(Pre-Design),pre-design,Lowe Hall ADA Accessibility Improvements,,true
,BX040-017,(Pending),pending,Bronx Express,,true
,BX041-017,(Pre-Design),pre-design,STEM Resource Center,,true
,BX042-018,(Pre-Design),pre-design,Renovate Roscoe Brown Student Center,,true
,BX044-018,(Pre-Design),pre-design,Community Hall First Floor Renovation,,true
,BX046-019,(Pre-Design),pre-design,Alumni Gym HVAC & ADA Improvements,,true
,BX047-020,(Pre-Design),pre-design,Ohio Track & Field Upgrade,,true
,BX049-020,(Pre-Design),pre-design,Carl Polowczyk Hall Upgrades,,true
,BY024-012,(Pre-Design),pre-design,Haitian Studies Institute Initial Outfitting,,true
,BY025-012,(Pre-Design),pre-design,Haitian Studies Institute Initial Outfitting,,true
,BY031-017,(Pre-Design),pre-design,Electrical Upgrades,,true
,BY032-018,(Pre-Design),pre-design,ADA Upgrades for the Brooklyn College Student Center,,true
,CA001-023,(Pre-Design),pre-design,EXPANSION OF SLU CLASSROOM SPACE AND CREATION OF LABOR MUSEU,,true
,CA001-027,(Pending),pending,Community College State of Good Repair,,true
,CA001QB25,(Completed),completed,QBCC - Kennedy Hall Gymnasium Roof Reconstruction,,false
,CA001QC26,(Pending),pending,Queens College - Kiely Hall Technology Upgrades,,true
,CA002-021,(Equipment),equipment,SPS - Virtual Online Desktop - Informatics & Data Analytics,,true
,CA002-022,(Equipment),equipment,Technology Equipment and Facility upgrades,,true
,CA002CA01,(Pre-Design),pre-design,CUNY Prep HVAC Upgrade Project,,true
,CA003-023,(Pre-Design),pre-design,Restroom Renovations,,true
,CA004-021,(Pending),pending,CUNY STEM Institute,,true
,CA004-023,(Pre-Design),pre-design,Workspace Expansion & Welcome Center Relocation,,true
,CA005-021,(Pre-Design),pre-design,CUNY SPH Renovation,,true
,CA005-022,(Equipment),equipment,SPH Expansion and Renovation,,true
