invoice_id,po_id,vendor_id,vendor_name,amount,period,status,submitted_at,doc_uri,missing_field,label_is_duplicate,label_dead_job
INV-00001,P-3RV105L,V0560,Brighter Choice Community School,33256.99,202605,paid,2026-05-19,docs/invoices/INV-00001.pdf,none,false,false
INV-00002,SANDBOMB,V0289,"P.S. 274, Kosciusko",1301710.56,202605,pending,2026-05-25,docs/invoices/INV-00002.pdf,none,false,false
INV-00003,P-404NTPG,V0475,Multicultural High School,19186.03,202605,paid,2026-05-15,docs/invoices/INV-00003.pdf,none,false,false
INV-00004,HBQA24750,V0074,"Ohel Children's Home and Family Services, Inc.",1643544.47,202605,pending,2026-05-03,docs/invoices/INV-00004.pdf,none,false,false
INV-00005,P-302BLEE,V0241,21K525 - Edward R. Murrow H.S.,161924.68,202605,denied,2026-05-23,docs/invoices/INV-00005.pdf,none,false,false
INV-00006,GQROWB-01,V0728,BROOKLYN GARDENS ELEMENTARY SCHOOL,19213.37,202605,paid,2026-05-05,docs/invoices/INV-00006.pdf,none,false,false
INV-00007,PW322PLAN,V0756,NYC DOE Brooklyn STEAM Center,3815803.14,202605,paid,2026-05-12,docs/invoices/INV-00007.pdf,none,false,false
INV-00008,CO288MS4,V0933,I.S. 382,14229.15,202605,pending,2026-05-12,docs/invoices/INV-00008.pdf,none,false,false
INV-00009,BED-803,V0006,"Brooklyn Academy of Music, Inc. (BAM)",214324.26,202605,denied,2026-05-05,docs/invoices/INV-00009.pdf,none,false,false
INV-00010,P-400ZO22,V0684,P.S. 261 PHILIP LIVINGSTON,16285.8,202605,paid,2026-05-18,docs/invoices/INV-00010.pdf,none,false,false
INV-00011,P-200PPLS,V0209,Community Healthcare Network Inc.,79161.74,202605,paid,2026-05-13,docs/invoices/INV-00011.pdf,po_id,false,false
INV-00012,BED-807,V0150,Public School 44,130899.15,202605,paid,2026-05-24,docs/invoices/INV-00012.pdf,none,false,false
INV-00013,BED-807,V0150,PUBLIC SCHOOL 44,130899.15,202605,pending,2026-05-03,docs/invoices/INV-00013.pdf,none,true,false
INV-00014,P-2TRE18B,V0411,The Noel Pointer Foundation,181683.41,202605,denied,2026-05-12,docs/invoices/INV-00014.pdf,none,false,false
INV-00015,CO281ADA,V0635,P.S. 106 EDWARD EVERETT HALE,18038.98,202605,paid,2026-05-24,docs/invoices/INV-00015.pdf,none,false,false
INV-00016,RWX023,V0150,Public School 44,650443.98,202605,denied,2026-05-20,docs/invoices/INV-00016.pdf,none,false,false
INV-00017,50202405,V0009,"Gallim Dance Company, Inc.",71743.49,202605,paid,2026-05-02,docs/invoices/INV-00017.pdf,period,false,false
INV-00018,HWR00513,V0972,K891 - The Brooklyn STEAM Center at the Navy Yard,55057.16,202605,paid,2026-05-15,docs/invoices/INV-00018.pdf,none,false,false
INV-00019,HWQ187A,V0499,"PS 185, Walter Kassenbrock",2954706.79,202605,paid,2026-05-23,docs/invoices/INV-00019.pdf,none,false,false
INV-00020,P-1TRE27A,V0056,Issue Project Room,635.25,202605,denied,2026-05-03,docs/invoices/INV-00020.pdf,none,false,false
INV-00021,SEQ200509,V0010,Office of the Brooklyn Borough President,102369.19,202605,paid,2026-05-15,docs/invoices/INV-00021.pdf,period,false,true
INV-00022,LQHIROOF,V0877,NYC Health + Hospitals/ Kings County,205898.82,202605,paid,2026-05-25,docs/invoices/INV-00022.pdf,none,false,false
INV-00023,SBMTOSW,V0238,18K589 - Arts & Media Preparatory Academy,2890197.94,202605,pending,2026-05-06,docs/invoices/INV-00023.pdf,none,false,false
INV-00024,HWS2021XM,V0009,"Gallim Dance Company, Inc.",201542.07,202605,paid,2026-05-14,docs/invoices/INV-00024.pdf,po_id,false,false
INV-00025,S216-401D,V0274,Leaders High School 21K572,70714.09,202605,paid,2026-05-12,docs/invoices/INV-00025.pdf,none,false,false
INV-00026,P-5ANCH02,V0540,RIVERDALE AVENUE COMMUNITY SCHOOL,1516844.55,202605,pending,2026-05-03,docs/invoices/INV-00026.pdf,none,false,false
INV-00027,P-4STMCPG,V0725,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,168745.99,202605,paid,2026-05-02,docs/invoices/INV-00027.pdf,none,false,false
INV-00028,P-203SBIP,V0150,Public School 44,71428.31,202605,paid,2026-05-20,docs/invoices/INV-00028.pdf,none,false,false
INV-00029,HWPR26KR,V0057,The Brooklyn Historical Society,202002.77,202605,paid,2026-05-26,docs/invoices/INV-00029.pdf,none,false,false
INV-00030,HWSRT200F,V0203,New York Blood Center,1016664.77,202605,pending,2026-05-13,docs/invoices/INV-00030.pdf,none,false,false
INV-00031,HWK876,V0144,P.S. 321 WILLIAM PENN,1934792.82,202605,paid,2026-05-06,docs/invoices/INV-00031.pdf,none,false,false
