"Managing Agency","FMS ID","Year-Month Reported","Total Budget","Spend to Date","Spend to Date %","Budget Variance","Budget Variance %"
"NYRL","L23LPAFAS","202305","$3,000,000",,,,
"NYRL","L23LPAFAS","202305","$3,000,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202309","$3,000,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202401","$3,000,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202405","$3,000,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202409","$3,000,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202501","$3,002,000","$0","0%","$2,000","0.06%"
"NYRL","L23LPAFAS","202505","$3,002,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202509","$3,002,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202601","$3,002,000","$0","0%","$0","0%"
"NYRL","L23LPAFAS","202605","$3,002,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202210","$3,755,000",,,,
"NYRL","L23SCHOMB","202305","$4,007,000","$0","0%","$252,000","6.71%"
"NYRL","L23SCHOMB","202309","$4,007,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202401","$4,007,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202405","$4,007,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202409","$10,758,000","$0","0%","$6,751,000","168.48%"
"NYRL","L23SCHOMB","202501","$10,758,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202505","$10,758,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202509","$10,758,000","$0","0%","$0","0%"
"NYRL","L23SCHOMB","202601","$2,132,000","$0","0%","$-8,626,000","-80.18%"
"NYRL","L23SCHOMB","202605","$2,132,000","$0","0%","$0","0%"
"NYRL","L27LPROOF","202605","$1,000,000","$0","0%",,
"NYRL","L27SCHOMB","202605","$2,000,000","$0","0%",,
"NYRL","LRLCGSCHR","202605","$2,400,000","$0","0%",,
"NYPL","LN18ALRFW","201910","$1,000,000",,,,
"NYPL","LN18ALRFW","202305","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202309","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202401","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202405","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202409","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202501","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202505","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202509","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202601","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18ALRFW","202605","$1,000,000","$0","0%","$0","0%"
"NYPL","LN18BEADA","201910","$500,000",,,,
"NYPL","LN18BEADA","202305","$500,000","$0","0%","$0","0%"
"NYPL","LN18BEADA","202309","$500,000","$0","0%","$0","0%"
