vendor_id,canonical_name,alias_count,aliases
V0001,Brooklyn Public Library,1,Brooklyn Public Library
V0002,Wildlife Conservation Society - New York Aquarium,2,Wildlife Conservation Society - New York Aquarium | Wildlife Conservation Society New York Aquarium
V0003,Brooklyn Museum,1,Brooklyn Museum
V0004,Brooklyn Botanic Garden,1,Brooklyn Botanic Garden
V0005,Brooklyn Children's Museum,1,Brooklyn Children's Museum
V0006,"Brooklyn Academy of Music, Inc. (BAM)",2,"Brooklyn Academy of Music, Inc. (BAM) | Brooklyn Academy of Music (BAM)"
V0007,St. Ann's Warehouse,1,St. Ann's Warehouse
V0008,Ifetayo Cultural Arts Academy,1,Ifetayo Cultural Arts Academy
V0009,"Gallim Dance Company, Inc.",2,"Gallim Dance Company, Inc. | Gallim Dance Company"
V0010,Office of the Brooklyn Borough President,1,Office of the Brooklyn Borough President
V0011,Bedford Union Armory,1,Bedford Union Armory
V0012,Sanitation/Community Board 14/Cushman Haulster,1,Sanitation/Community Board 14/Cushman Haulster
V0013,Conselyea Street Block Association,1,Conselyea Street Block Association
V0014,Brooklyn Kindergarten Society,1,Brooklyn Kindergarten Society
V0015,East Williamsburg Valley Industrial Development Corporation,1,East Williamsburg Valley Industrial Development Corporation
V0016,Greenpoint Manufacturing and Design Center Local Development Corporation,1,Greenpoint Manufacturing and Design Center Local Development Corporation
V0017,Pratt Institute,1,Pratt Institute
V0018,James Madison High School - 22k425,1,James Madison High School - 22k425
V0019,"Sheepshead Bay High School Campus (22K495 -Sheepshead Bay High School, Professional Pathways High School (22K630) Origins High School (22K611)",1,"Sheepshead Bay High School Campus (22K495 -Sheepshead Bay High School, Professional Pathways High School (22K630) Origins High School (22K611)"
V0020,K188,1,K188
V0021,Public School 249-The Caton School,1,Public School 249-The Caton School
V0022,Wingate Campus,1,Wingate Campus
V0023,New York City College of Technology,1,New York City College of Technology
V0024,I.S. 281 Joseph B Cavallaro,1,I.S. 281 Joseph B Cavallaro
V0025,PS73,1,PS73
V0026,23K363 - Brownsville Collaborative Middle School,2,23K363 - Brownsville Collaborative Middle School | 23K363 Brownsville Collaborative Middle School
V0027,Public School 315K,1,Public School 315K
V0028,The Fresh Creek School,1,The Fresh Creek School
V0029,PS 84 Magnet School for Visual Arts and Sciences,1,PS 84 Magnet School for Visual Arts and Sciences
V0030,Sunset Park School,1,Sunset Park School
V0031,Hebrew Educational Society,1,Hebrew Educational Society
V0032,St. Francis College,1,St. Francis College
V0033,"Fifth Avenue Committee, Inc.",1,"Fifth Avenue Committee, Inc."
V0034,Crown Gardens,1,Crown Gardens
V0035,"Ridgewood Bushwick Senior Citizens Council, Inc.",2,"Ridgewood Bushwick Senior Citizens Council, Inc. | Ridgewood Bushwick Senior Citizens Council"
V0036,Pratt Area Community Council,1,Pratt Area Community Council
V0037,Hudson Gateway III LLC,1,Hudson Gateway III LLC
V0038,YWCA of Brooklyn,1,YWCA of Brooklyn
V0039,"Rogers Avenue HDFC c/o The Doe Fund, Inc.",1,"Rogers Avenue HDFC c/o The Doe Fund, Inc."
V0040,Northeast Brooklyn Housing Development Corp.,1,Northeast Brooklyn Housing Development Corp.
V0041,"GallopNYC (Giving Alternative Learners Uplifting Opportunities, Inc.",1,"GallopNYC (Giving Alternative Learners Uplifting Opportunities, Inc."
V0042,Prospect Park Alliance,1,Prospect Park Alliance
V0043,BRIC,1,BRIC
V0044,Christian Cultural Center,1,Christian Cultural Center
